Category,Carbohydrate/g,Data.Cholesterol/mg,Data.Fiber/g,Data.Kilocalories/kcal,Data.Protein/g,Data.Sugar Total/g,Data.Water/g,Data.Fat.Total Lipid/g,Data.Major Minerals.Calcium/mg,Data.Major Minerals.Iron/mg,Data.Major Minerals.Sodium/mg,Data.Vitamins.Vitamin A - IU,Data.Vitamins.Vitamin B12/ug,Data.Vitamins.Vitamin B6/mg,Data.Vitamins.Vitamin C/mg,Data.Vitamins.Vitamin E/mg,Data.Vitamins.Vitamin K/ug,images
Raw Chicken Thigh,0,84,0,211,17.27,0,67.68,15.25,10,0.99,76,149,0.3,0.26,2.3,0.28,2.9,Raw Chicken Thigh.jpg
Raw Chicken Wing,0,77,0,222,18.33,0,66.21,15.97,12,0.95,73,147,0.32,0.35,0.7,0.3,0,Raw Chicken Wing.jpg
Raw Lamb Mince,0,73,0,282,16.56,0,59.47,23.41,16,1.55,59,0,2.31,0.13,0,0.2,3.6,Raw Lamb Mince.jpg
Raw Pock Belly,0,72,0,518,9.34,0,36.74,53.01,5,0.52,32,10,0.84,0.13,0.3,0.39,0,Raw Pock Belly.jpg
Raw Pock Heart,1.33,131,0,118,17.27,0,76.21,4.36,5,4.68,56,25,3.79,0.39,5.3,0.63,0,Raw Pock Heart.jpg
Raw Pork Intestine,0,154,0,182,7.64,0,76.11,16.61,16,1.02,24,0,0.82,0.01,1.1,0.18,0,Raw Pork Intestine.jpg
Raw Pork Kidney,0,319,0,100,16.46,0,80.06,3.25,9,4.89,121,198,8.49,0.44,13.3,0,0,Raw Pork Kidney.jpg
Raw Pork Meat,0,74,0,376,13.91,0,49.83,35.07,19,0.69,42,8,0.61,0.28,0.4,0.29,0,Raw Pork Meat.jpg
Raw Pork Mince,0,72,0,263,16.88,0,61.06,21.19,14,0.88,56,7,0.7,0.38,0.7,0,0,Raw Pork Mince.jpg
Raw Pork Rib,0,81,0,282,16.12,0,59.39,23.58,32,0.91,75,10,0.82,0.4,0.2,0,0,Raw Pork Rib.jpg
Raw Pork Tongue,0,101,0,225,16.3,0,65.9,17.2,16,3.35,110,0,2.84,0.24,4.4,0.29,0,Raw Pork Tongue.jpg
Red Radishes,3.4,0,1.6,16,0.68,1.86,95.27,0.1,25,0.34,39,7,0,0.07,14.8,0,1.3,Red Radishes.jpg
Romaine,3.29,0,2.1,17,1.23,1.19,94.61,0.3,33,0.97,8,8710,0,0.07,24,0.13,102.5,Romaine.jpg
Spinach,3.63,0,2.2,23,2.86,0.42,91.4,0.39,99,2.71,79,9377,0,0.2,28.1,2.03,482.9,Spinach.jpg
Scallion Spring Onion,7.34,0,2.6,32,1.83,2.33,89.83,0.19,72,1.48,16,997,0,0.06,18.8,0.55,207,Scallion Spring Onion.jpg
Shallot,16.8,0,0,72,2.5,0,79.8,0.1,37,1.2,12,1190,0,0.35,8,0,0,Shallot.jpg
Shiitatke Mushrooms,75.37,0,11.5,296,9.58,2.21,9.5,0.99,11,1.72,13,0,0,0.97,3.5,0,0,Shiitatke Mushrooms.jpg
Lettuce,2.79,0,1.3,15,1.36,0.78,95.07,0.15,36,0.86,28,7405,0,0.09,18,0.29,173.6,Lettuce.jpg
Strawberry,7.68,0,2,32,0.67,4.89,90.95,0.3,16,0.41,1,12,0,0.05,58.8,0.29,2.2,Strawberry.jpg
Sweet Potato Leaves,6.38,0,2,35,4,0,87.96,0.3,37,1.01,9,1028,0,0.19,11,0,0,Sweet Potato Leaves.jpg
Sweet Potato,20.12,0,3,86,1.57,4.18,77.28,0.05,30,0.61,55,14187,0,0.21,2.4,0.26,1.8,Sweet Potato.jpg
Taro,26.46,0,4.1,112,1.5,0.4,70.64,0.2,43,0.55,11,76,0,0.28,4.5,2.38,1,Taro.jpg
Tomato,4.01,0,0.7,18,0.95,2.49,94.34,0.11,11,0.68,11,489,0,0.08,22.8,0.56,2.8,Tomato.jpg
Waterchestnut,23.94,0,3,97,1.4,4.8,73.46,0.1,11,0.06,14,0,0,0.33,4,1.2,0.3,Waterchestnut.jpg
Bamboo Shoots,5.2,0,2.2,27,2.6,3,91,0.3,13,0.5,4,20,0,0.24,4,1,0,Bamboo Shoots.jpg
White Radishes,4.1,0,1.6,18,0.6,2.5,94.62,0.1,27,0.4,21,0,0,0.05,22,0,0.3,White Radishes.jpg
